first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Max,Kinsey,3,4.0,0,0,0,0,0,0.0,,Max Kinsey,0.0,0.0,0.0,True
Ben,Winterburn,3,4.5,3,0,0,0,21,0.0,,Ben Winterburn,0.0,0.0,0.6666665185185514,True
Archie,Harris,3,4.0,0,0,0,0,0,0.0,,Archie Harris,0.0,0.0,0.0,True
Remy,Rees-Dottin,3,4.5,1,0,0,0,1,0.1,,Remy Rees-Dottin,0.0,0.0,0.22222217283951715,True
Matai,Akinmboni,3,4.0,0,0,0,0,0,0.0,,Matai Akinmboni,0.0,0.0,0.0,True
Julio,Soler,3,3.9,1,0,0,0,1,0.0,100.0,Julio Soler,0.0,0.0,0.2564101906640537,True
Daniel,Adu-Adjei,3,4.5,0,0,0,0,0,0.0,,Daniel Adu-Adjei,0.0,0.0,0.0,True
Dominic,Sadi,3,4.5,0,0,0,0,0,0.0,,Dominic Sadi,0.0,0.0,0.0,True
Callan,McKenna,3,4.0,0,0,0,0,0,0.0,,Callan McKenna,0.0,0.0,0.0,True
Zain,Silcott-Duberry,3,4.5,1,0,0,0,1,0.0,,Zain Silcott-Duberry,0.0,0.0,0.22222217283951715,True
Andoni,Iraola,3,1.1,71,0,0,0,0,1.5,,Andoni Iraola,0.0,0.0,64.54539586782194,True
Kristoffer,Ajer,4,4.4,38,0,0,3,1429,0.2,100.0,Kristoffer Ajer,0.0,0.0,8.636361673554164,True
Ethan,Brierley,4,4.4,0,0,0,0,0,0.1,100.0,Ethan Brierley,0.0,0.0,0.0,True
Nathan,Collins,4,4.6,125,2,7,8,3330,4.6,,Nathan Collins,0.054054052593133714,0.18918918407596802,27.173907136107147,True
Mikkel,Damsgaard,4,4.9,129,2,10,11,2832,1.2,100.0,Mikkel Damsgaard,0.06355932001400466,0.3177966000700233,26.326525239484642,True
Josh,Dasilva,4,4.8,0,0,0,0,0,0.0,0.0,Josh Dasilva,0.0,0.0,0.0,False
Mark,Flekken,4,4.5,135,0,2,7,3185,10.1,100.0,Mark Flekken,0.0,0.05651491206080312,29.999993333334814,True
Rico,Henry,4,4.3,4,0,0,0,95,0.0,100.0,Rico Henry,0.0,0.0,0.9302323418064321,True
Aaron,Hickey,4,4.3,0,0,0,0,0,0.0,75.0,Aaron Hickey,0.0,0.0,0.0,False
